description,label,count_of_important_words,description_length,count_of_characters,average_length_of_words,number_of_punctuation,number_of_nouns,number_of_noun_phrases,number_of_verbs,number_of_adj,count_of_sentences,number_of_characters_in_largest_sentence,number_of_characters_in_smallest_sentence,number_of_nouns_in_largest_sentence,number_of_verbs_in_largest_sentence,number_of_adjectives_in_largest_sentence,count_of_stopwords,count_title_case_words,automated_readability_index,count_of_adverbs,lexical_density
"This golden whiskey has a gentle honey aroma and complex, layered flavor. Look for waxy honey, white flowers, dusty plum and black pepper tingle, finishing long, with a brisk, drying feel.",spirits_taster,2,31,188,6.064516129032258,8,12,7,4,7,2,25,14,7,3,4,8,2,14.883870967741935,1,77.41935483870968
"An easy, elegant sipper, look for a gentle vanilla-caramel-almond profile on the nose and palate as well as a silky feel. Mild baked pear and dried apricot midpalate wind into a cinnamon and clove finish. Sip or mix.",spirits_taster,4,40,216,5.4,7,13,6,5,6,3,28,4,7,2,4,14,2,10.67066666666667,2,65.0
"Made by Wicklow Hills Whiskey Company, cut with water from the family well, and aged in former Bourbon and oloroso Sherry barrels. The end result: a mild vanilla scent with hints of pineapple and lemon zest and a light, creamy palate. Look for vanilla, lemon cream and honey, finishing smoothly with ginger, cinnamon and cayenne heat. A splash of water teases out more vanilla, oak and a hint of cocoa sweetness.",spirits_taster,6,71,412,5.802816901408451,12,28,12,6,5,4,25,17,3,3,2,25,9,14.776267605633805,2,57.74647887323944
"This special-edition whiskey matured for 14 years in former Bourbon cask, then spent additional time in oloroso Sherry casks. The end result is a vanilla-caramel scent and relatively dark flavors. Oak, caramel and toffee dominate, with baked pear in the middle and drying to vanilla, cocoa and clove on the finish.",spirits_taster,5,53,314,5.9245283018867925,9,19,11,5,7,3,25,14,8,2,1,18,5,15.307861635220128,2,62.264150943396224
"This blended whiskey was matured in Sherry and Bourbon casks and finished in former rum casks—the latter an unusual touch for Irish whiskey. All this yields vanilla sweetness on the nose and palate, plus almond, creamy honey and an exceedingly long finish with plenty of ginger and sweet cinnamon sparks.",spirits_taster,4,51,304,5.96078431372549,5,17,9,4,9,2,30,26,11,1,4,18,3,19.39529411764706,1,60.78431372549019
"Made from a combination of whiskeys made with malted and unmalted barley, this is a gentle, versatile spirit to sip or mix. The honeyed scent leads into a light, sweet flavor profile that shows coconut and vanilla, plus a bracing sprinkle of nutmeg and cinnamon heat on the drying finish.",spirits_taster,5,50,288,5.76,6,12,7,9,10,2,31,25,8,4,6,20,2,18.199599999999997,0,62.0
"This robust newcomer is a collaboration between the master blender at Midleton Distillery and winemakers at Bodegas Lustau; the whiskey spends time in former oloroso Sherry barrels. Big, spicy flavors sweep over the palate in waves: vanilla, waxy honey, apple butter, dried apricot and dried fig, drying to chamomile tea and oak midpalate, and winding into a rich honey finish.",spirits_taster,6,60,377,6.283333333333333,10,23,14,8,6,2,41,29,15,6,3,19,7,23.164499999999997,0,61.66666666666667
"This single malt has a fresh, bright scent with stone fruit and vanilla. The drying, relatively hot palate skews a bit darker, deepening to cocoa, oak, almond and dried apricot, plus a smoky hint in the finish and plenty of cinnamon and clove finish. A splash of water helps tone down the heat and softens flavors to vanilla, peach and ginger sizzle.",spirits_taster,8,62,350,5.645161290322581,10,26,7,7,6,3,37,15,13,3,3,22,2,15.492043010752688,1,64.51612903225806
"Clear in the glass, this corn-based whiskey offers a sweet, slightly fruity scent and lots of fruit on the palate, ranging from raspberries to ripe banana funk. It feels soft, though there's lots of alcohol bite on the long, spicy finish.",spirits_taster,5,43,238,5.534883720930233,8,15,7,5,6,2,33,18,11,3,3,14,1,15.389302325581397,2,65.11627906976744
"This 15-year-old Bourbon was distilled at the New Bernheim Distillery and found in the old Stitzel-Weller Warehouses (both in Louisville, KY), then bottled in Tullahoma, TN. The aroma and palate show bold vanilla and a subtle waft of mesquite smoke. It finishes long and drying, with clove, cinnamon and black pepper spice.",spirits_taster,3,55,323,5.872727272727273,12,10,8,7,5,3,36,15,0,4,2,19,10,15.397212121212121,2,43.63636363636363
"Made from 100% malted barley, a quarter of which is smoked with cherrywood, this single malt is aged in barrels that previously held Few's own Bourbon and rye. The end result has a honey hue and aromas of honey, cedar and oak. Soft on the palate, it delivers most of its flavor on the rounded, honeyed finish. A splash of water coaxes out additional vanilla sweetness and baking spice.",spirits_taster,6,70,385,5.5,10,26,13,9,10,4,33,13,8,7,4,30,4,13.225000000000001,1,65.71428571428571
"This unaged corn whiskey is clear in the glass, with a nearly neutral, slightly fruity scent. On the palate, sweetness mingles with alcohol bite, leaving behind a lingering, pleasantly fruity note. Producer recommends serving as a “moonshine sour.”",spirits_taster,1,38,248,6.526315789473684,10,14,6,4,4,4,19,1,8,1,0,12,3,14.058947368421052,3,65.78947368421053
"This fiery single-barrel Bourbon has a burnished copper hue and rich caramel aroma. That concentrated caramel-toffee note shows up on the palate too, finishing oaky with clove and cinnamon burn.",spirits_taster,1,32,194,6.0625,5,11,5,5,5,2,21,16,6,3,2,10,3,15.124375,1,68.75
"Reminiscent of tea with honey, this bottling is a collaboration between a whiskey producer and a honey purveyor, both from upstate New York. The three year-old rye is infused with a “slight amount” of raw local honey, creating a light-bodied, drying whiskey, with notes of cedar and black tea, and slightly a sweet honey accent on the finish",spirits_taster,5,60,341,5.683333333333334,11,19,11,5,9,2,45,26,11,4,8,24,4,20.338500000000003,1,56.666666666666664
"This new offering is bottled at 113 proof, making it fiery but flavorful. Expect a stab of alcohol even while inhaling the lovely crème brûlée-like aroma. The palate is extremely drying, showing mainly oak at first, but opening up to caramel, toffee and burnt orange peel. Adding much-needed water pales the taste to cinnamon Red Hots.",spirits_taster,3,61,335,5.491803278688525,10,18,11,11,5,4,24,13,7,4,0,18,5,12.06139344262295,5,63.934426229508205
"This amber-hued rye shows notes of oak, chamomile tea, vanilla and cedar, concluding with a pleasingly juicy orange-peel note on the fiery cinnamon finish. 70% rye.",spirits_taster,4,28,164,5.857142857142857,8,14,5,3,3,2,32,4,12,3,3,7,1,13.157142857142851,1,75.0
"Bold topaz in the glass, this single malt features a rich maple scent with a flicker of spice. The palate is drier, showing oak, vanilla and just a trace of maple, finishing spicy and fiery.",spirits_taster,3,35,190,5.428571428571429,6,12,7,4,6,2,21,20,6,3,2,14,2,12.888571428571431,1,65.71428571428571
"Made with Crooked Creek Corn, an heirloom variety, this clear whiskey has a sweet marshmallow scent and a relatively neutral palate, finishing with marshmallow, vanilla and a flicker of alcohol heat.",spirits_taster,3,31,199,6.419354838709677,5,11,7,3,3,1,36,36,11,3,3,11,4,24.30516129032258,1,58.06451612903226
"Made with a blend of straight Bourbons, this whiskey has a mild vanilla and resin scent. On the palate, flavors run to vanilla, cedar and citrus. Adding water brings out distinct cinnamon and peach notes, before fading into vanilla.",spirits_taster,6,39,232,5.948717948717949,7,15,7,6,3,3,18,13,5,2,2,15,3,13.088461538461537,0,61.53846153846154
"Made from a mix of 70% cane and 30% corn, this small-batch 'shine is clear in the glass, with a sweet banana-like scent. The palate reads as fruity with a touch of oakiness, finishing with a hot and puckery feel.",spirits_taster,3,42,212,5.0476190476190474,10,15,8,5,5,2,33,19,10,2,4,18,2,12.84428571428571,0,59.523809523809526
"This Bourbon-based liqueur is made with honey and infused with ghost pepper, which is reputed as one of the hottest chile peppers in the world. The golden liqueur has a mild caramel-honey scent. At first sip, it shows a slight fruitiness, like red apples and vanilla, and mild heat. But the slow burn builds with each sip, showing cinnamon, black pepper, cayenne and chile heat.",spirits_taster,3,67,378,5.641791044776119,13,19,12,11,13,4,29,11,6,6,3,25,3,13.51783582089552,0,64.17910447761194
"A fleeting vegetal note, like fresh celery, underscores the vanilla and oak aroma and flavor, finishing distinctly spicy with lots of cayenne and black pepper.",spirits_taster,5,25,159,6.36,4,9,5,2,5,1,29,29,9,2,5,7,0,21.025600000000004,1,68.0
"Made with a mashbill of 96% rye and 4% barley, this rye whiskey tastes relatively young, showing mostly oak on the nose and palate. But there's potential, with enticing caramel and orange peel lurking just below the fiery surface.",spirits_taster,2,40,230,5.75,7,13,7,5,5,2,29,18,10,3,1,14,2,15.652499999999996,4,67.5
"This “moonshine-style” unaged corn whiskey is clear in the glass, with a very sweet, corn-like aroma. It's exceedingly hot on the palate. A touch of sweetness reads almost like cherries, but the sharp alcohol heat obliterates most of the flavor. Small batch",spirits_taster,5,45,257,5.711111111111111,10,16,8,3,8,4,25,2,7,1,4,16,2,11.094333333333331,3,66.66666666666666
"This unaged 100% rye-based is intended to evoke early whiskeys distilled in Colonial Virginia. This has a malty, slightly sweet scent and a rawness that finishes with green apple and a subtle floral note.",spirits_taster,1,35,204,5.828571428571428,5,8,7,8,6,2,22,18,5,2,5,13,4,14.772571428571432,1,65.71428571428571
"The owner of this Irish-style, American-made small batch whiskey is named Begley, not O'Begley, but this product nonetheless is intended as a nod to his Irish roots. Made primarily from barley, the spirit has a warm, grainy aroma and bold, malty palate, finishing long and lip-numbingly hot at 100 proof.",spirits_taster,1,54,304,5.62962962962963,12,14,10,8,8,2,35,30,7,5,4,19,4,18.58555555555555,5,64.81481481481481
"Though this topaz rye smells bright and fresh, on the palate it's quite fiery at 95 proof. Adding water coaxes out some vanilla sweetness and flecks of cinnamon, but the whiskey doesn't stand up well to dilution. Named for the date FDR signed the 21st Amendment into law (December 5, 1933); Cedar Ridge is the first licensed distillery in Iowa since Prohibition.",spirits_taster,2,64,362,5.65625,9,15,10,8,5,3,30,20,3,3,2,20,6,15.877604166666664,3,48.4375
"Intended as cherry-cola-flavored whiskey, this amber spirit has an herbal scent that suggests horehound and cherry-flavored cough drops, and an ersatz flavor redolent of cherry cough syrup. The producer suggests drinking as a shot.",spirits_taster,4,37,231,6.243243243243243,7,17,7,7,3,2,36,8,14,6,3,12,1,17.225675675675674,0,72.97297297297297
"The magnum opus of rum maestro Francisco “Don Pancho” Fernandez, this velvet-soft, limited-edition rum is redolent of rich, warm caramel accented with espresso and cocoa. It fades gracefully into long notes of toffee and clove.",spirits_taster,1,37,227,6.135135135135135,9,12,6,4,6,2,35,11,10,2,5,11,5,16.71648648648648,1,62.16216216216216
"Rich and concentrated, this is a blend of rums aged up to 12 years, then aged an additional two years in former PX Sherry casks. The end result is luxurious, thick in caramel, toffee and gingerbread flavors that finish long and elegant, with clove, allspice, dry cocoa, leather and orange peel accents. It sips beautifully.",spirits_taster,3,55,323,5.872727272727273,11,17,7,7,9,3,34,4,12,2,6,19,3,15.397212121212121,3,65.45454545454545
"This Florida-made rum, with honey and spices added, shows a light touch yet is remarkably complex for a flavored rum. Velvety soft, with just a touch of sweetness, it offers notes of brown sugar, vanilla, coconut and cinnamon that waft across the palate. Sip or mix.",spirits_taster,4,47,266,5.659574468085107,10,14,6,8,5,3,28,4,9,2,3,17,3,13.059929078014186,3,63.829787234042556
"Single-vintage rums are few and far between. This one, distilled in 2000, is worth seeking out. Aged for 12 years before finishing in Sherry casks, this sipper offers rounded, lip-smacking notes of caramelized brown sugar and allspice, fading into a rich hazelnut and toffee finish. The proof feels comparatively high, but an ice cube or two should help restore balance.",spirits_taster,2,62,370,5.967741935483871,12,17,11,15,6,4,35,10,10,7,2,20,3,14.428064516129034,2,64.51612903225806
"Despite being aged 18 years, this suprisingly easy sipper is full of rich toffee and crème brûlée aromas and flavors, finishing long, with touches of orange peel and spice.",spirits_taster,2,32,172,5.375,4,9,4,4,5,1,33,33,9,4,5,9,1,19.886249999999997,2,62.5
"This light and silky rum offers vanilla and honey, brightened by tropical fruit and finishing with pops of baking spice. Made with a blend of rums aged 3–12 years, and aged via solera method in Sherry casks, it's packaged in a bottle resembling an oversized perfume flask",spirits_taster,3,49,271,5.530612244897959,4,16,8,9,4,2,30,22,9,6,1,15,3,16.869183673469387,0,59.183673469387756
"Golden and light-bodied, this small-batch rum mixes honey and oaky vanilla notes with fresh apples, pears and pineapple. It offers pleasant sipping and a light, spicy finish. The slow-building alcohol heat suggests this is an ideal rum to mix in tropical drinks.",spirits_taster,5,45,262,5.822222222222222,9,16,9,5,10,3,25,11,8,1,6,14,2,13.492666666666665,1,71.11111111111111
"This chocolate-flavored dark rum is soft and delicious, with a slightly nutty flavor and a dusty cocoa finish. Mix with cold-brew espresso and coconut milk for a memorable coffee-spiked libation.",spirits_taster,2,33,195,5.909090909090909,6,11,6,3,8,2,22,17,5,2,5,11,2,14.651818181818179,1,69.6969696969697
"Adorned with a shark tooth and an etched image of a shark, this small-batch rum attracts attention. In the glass, look for bold and warming notes of honey, vanilla and coconut, ideal for tropical libations. Made from a blend of four-, six- and eight-year-old rums.",spirits_taster,2,48,264,5.5,11,16,9,5,8,3,22,16,6,2,3,18,1,12.475000000000001,0,60.416666666666664
"Since Pusser's utilizes traditional wood pot stills in addition to copper pot stills, that may account for the unusual flavor profile. Overall, the rum is light bodied, showing oak and resin-like flavors layered with vanilla, plus notes of cedar, chamomile tea, honey and a flash of dried apricot. Finishes dry and spicy.",spirits_taster,8,54,321,5.944444444444445,10,22,8,7,8,3,35,5,12,4,3,14,3,15.568333333333335,1,70.37037037037037
"Toasty/roasted aromas of molasses, black coffee and road tar begin the nosing stage, then bittersweet scents of oatmeal stout ale, licorice, dark cocoa, pipe tobacco and brown sugar take over. Palate entry is long, more sweet than bittersweet and dark chocolate-like; at midpalate, tastes of bacon fat, oak resin and brown sugar turn creamy. Finishes smooth, creamy and dense.",spirits_taster,7,61,376,6.163934426229508,15,25,12,4,17,3,38,7,15,2,7,14,2,17.76879781420765,3,80.32786885245902
"First nosings find a starchy, cotton fiber, desert dry aroma that's appealing; aeration heightens and reinforces the dry, starch- and seed-like bouquet. Squeaky clean and dry at palate entry; by midpalate, there's a faint bittersweet note that fades quickly, leaving the astringent, pod-like flavor. Ends up oily in texture and taste. A solid vodka that comes on strong when you want it most, in the taste and aftertaste.",spirits_taster,8,72,421,5.847222222222222,15,22,10,7,18,4,30,8,6,2,8,22,3,15.110416666666666,5,72.22222222222221
"Opening inhalations offer proper, if standard-issue, scents of grain and dry-roasted peanuts; more air contact introduces totally dry aromas of cardboard, synthetic fibers and palm oil. Palate entry flavors offer vivid, off-dry tastes of wheat and resin; by midpalate, the taste expands to include bittersweet cocoa and prickly (a plus) cereal spirit. Concludes offering moderately hot tastes on the tongue.",spirits_taster,7,63,407,6.4603174603174605,15,27,12,7,11,3,35,9,14,2,6,14,3,19.49809523809524,4,77.77777777777779
"The seductive perfume of ripe raspberries fills the office upon pouring; air contact stimulates ambrosial, berry-like, properly fruity aromas. What's attractive about this bouquet is that it holds onto the natural fruit acidity/astringency aspect. Palate entry is tart; by midpalate, the tartness begins to turn peel-like and seed-like. Ends tart and bitter. One of the best less-than-$15 berry flavored voddies out there, period.",spirits_taster,9,70,430,6.142857142857143,16,25,10,9,14,5,25,5,9,2,4,18,4,14.502857142857145,3,72.85714285714285
"Starts out concentrated, coffee bean- and kernel-like in the aroma, which turns more cocoa/dark chocolate-like with aeration. Palate entry is creamy, thick and intensely black coffee-like; at midpalate, the sweetness accelerates and includes toasty flavors of roasted nuts and tar. Ends sweet, rich and properly coffee-like.",spirits_taster,9,51,324,6.352941176470588,14,18,5,6,13,3,29,10,8,3,6,15,3,16.99235294117647,3,78.43137254901961
"Early-stage sniffings find delicate aromas of green vegetables, carnations and grain mash; further air contact brings up slightly sour notes of damp soil, glue and marshmallow. Exceedingly pleasant, grainy sweet and genial on the palate. Finishes cleanly.",spirits_taster,4,38,255,6.7105263157894735,8,14,8,2,10,3,32,3,13,2,6,9,2,16.509912280701755,3,76.31578947368422
"The opening sniffing picks up alluring, rich creamy/spicy notes. With aeration the spice element recedes, leaving the creamy/milky aroma. Palate entry is pleasantly sweet; at midpalate the taste goes bittersweet and chocolaty. Concludes well and on a balanced aftertaste of cream, cinnamon stick and milk chocolate. Good job here.",spirits_taster,4,51,330,6.470588235294118,11,19,8,6,10,5,16,4,6,2,0,14,5,14.146470588235296,3,74.50980392156863
"The first inhalations find a charming, sweet, nutty and fruity bouquet; further time stimulates the dairy element and accentuates the fruit component. Palate entry is intensely fruity and almost too sweet and syrupy; by midpalate the taste profile includes chunky cherry-like fruit, milk chocolate, a faint hint of spice and hardly any nuttiness. Finishes thick and sweet.",spirits_taster,9,58,372,6.413793103448276,10,21,12,5,13,3,37,5,12,2,6,18,3,18.445632183908046,4,74.13793103448276
"The initial inhalations expose a moderately spicy, black peppercorn perfume; aeration brings about flax, cooked vegetables, and brown sugar. The platform flavor is intensely cocoa-like, then at midpalate, the taste leaps into deeper cocoa/bittersweet chocolate territory before turning lean and keenly bittersweet, oily and chocolaty in the finish.",spirits_taster,5,50,348,6.96,11,18,8,5,9,2,37,24,11,3,4,15,2,23.851599999999998,5,74.0
"Nose displays an early oakiness, then well-developed aromas of nut paste, roasted almond, cola nut and meringue. Flavor is dusty, semisweet and caramel-like, with late notes of nougat and marzipan. Finishes sweet, raisiny and toffee-like.",spirits_taster,6,38,238,6.2631578947368425,12,15,6,4,6,3,23,9,8,3,1,10,3,14.402807017543864,2,71.05263157894737
"Aromas include walnut butter, nougat, jasmine, papaya, grape skins and leather. Rich, textured, sweet, honey flavors emerge at palate entry, then stately tastes of nougat, toasted almond, sweet oak, vanilla bean and tobacco emerge. Ends long. and maple-like.",spirits_taster,8,39,258,6.615384615384615,16,21,4,5,7,4,31,3,11,3,5,6,2,14.603461538461538,1,87.17948717948718
"Delicate, biscuity, sugar cookie batter aromas start the experience; another six minutes bring forward scents of ripe yellow fruit, gum, confectioner's sugar and a distant hint of honey. Palate entry features the corn component in its finest grainy sweet state; by midpalate, flavors include caramel corn, cocoa butter, oak resin and honey. Finishes sinewy smooth in the throat.",spirits_taster,8,59,378,6.406779661016949,12,28,13,5,11,3,35,7,14,2,4,12,3,18.579265536723163,1,76.27118644067797
"The aroma is pleasingly oily, mildly sweet and bean-like; air contact does little except to bolster the bean/kernel quality as the bouquet becomes intensely cereal-like. Palate entry is bittersweet and beany and the oily texture works for me; at midpalate, the intensity of the grain kernel flavor accelerates. Finishes sweetly and quietly.",spirits_taster,6,55,340,6.181818181818182,10,17,8,7,9,3,34,5,9,4,5,18,3,16.8530303030303,5,69.0909090909091
"The beany vanilla bean aroma leaps from the sampling glass; aeration encourages the vanilla essence to turn plumper, more fatty and biscuity than bittersweet or extract-like. Palate entry is bittersweet and intensely beany while the midpalate stage is all about the buttery/oily side of processed vanilla essence. Concludes by going a bit soft in the finish.",spirits_taster,7,58,358,6.172413793103448,7,18,7,9,9,3,31,10,10,4,4,22,3,17.30873563218391,4,68.96551724137932
"Bouquet leaps from the glass in waves of perfectly ripe tangerine/blood orange, citrusy scents. Sweet-and-sour palate entry features the tangerine, but in a dried pulp, rind-like way; at midpalate, bitter traces of cardamom, bitter root, fennel, rosehip and mustard seed prevail. Finishes sweet and sour.",spirits_taster,6,49,304,6.204081632653061,15,24,9,3,8,3,41,5,14,3,5,12,2,15.957891156462587,1,73.46938775510205
"The unabashedly briny opening bouquet is all peat, sea salt and salted focaccia; time in the glass serves to bring out a refined Sherry scent. In the mouth, it's lean, surprisingly sweet and acutely resiny. Ends pine-like, resiny, moderately salty, fruity (yellow fruit, like yellow plum or banana) and semisweet.",spirits_taster,4,52,313,6.019230769230769,14,17,6,6,10,3,28,14,9,4,3,14,3,15.587243589743586,3,69.23076923076923
"The grain takes a backseat in the early sniffing stages as bittersweet bean- and kernel-like scents dominate; later whiffs merely confirm the intense bean/cocoa quality. Palate entry mirrors the bouquet to a tee; at midpalate, the kernel-like intensity turns smooth and viscous on the tongue. Ends bittersweet and oily.",spirits_taster,4,52,319,6.134615384615385,9,19,9,4,10,3,31,5,10,3,5,16,3,16.13070512820513,3,69.23076923076923
"The early whiffs find spicy/peppery notes that are semi-dry and alluring; later sniffings pick up deeper scents of toffee, citrus rind and hazelnuts. Palate entry starts semisweet then immediately turns bittersweet and resiny; midpalate the flavor profile focuses almost entirely on the oak, leaving the fruit way behind. An ethereal, sinewy Cognac with no fat on it.",spirits_taster,7,59,367,6.220338983050848,10,19,10,8,11,3,30,11,9,3,8,17,3,17.701129943502828,5,72.88135593220339
"The first sniffings pick up lively scents of buckwheat and hemp; more time encourages spirity aromas of light toffee, nougat and oak to emerge. The palate entry is moderately sweet, lead pencil-like and a touch chalky; at midpalate the roasted/toasty grain mash flavor gives way to tastes of baked pear, pie crust and spice. Concludes very warm, toasted and tobacco-like.",spirits_taster,9,63,371,5.888888888888889,12,25,9,9,11,3,38,10,14,4,5,19,3,16.806666666666665,2,74.60317460317461
"Sniffings detect dull notes of burnt paper and charcoal. The palate entry is sweet and toasty; at midpalate a moderate oiliness acts as a nice foundation for the toasty, sweet, almost smoky/sooty taste. Ends sweet and oily. A vodka with a “save the rainforest” theme and a bonfire-like personality.",spirits_taster,7,51,298,5.8431372549019605,11,16,9,4,11,4,30,5,7,2,7,18,3,12.46617647058823,2,64.70588235294117
"Whiffs detect notes of dry breakfast cereal, egg cream and a touch cocoa/chocolate-like. The palate entry is alluringly oily, bittersweet and vanilla bean-like; at midpalate toasty, roasted grain tastes impress the taste buds. Finishes with the sweet grain taste center-stage.",spirits_taster,8,44,276,6.2727272727272725,11,23,7,3,8,3,26,10,9,2,5,10,3,15.447878787878786,1,79.54545454545455
"Neon forest green appearance. Initially smells like Scope mouthwash or minty toothpaste, aeration allows a more nuanced leafy, minty core, totally dry and piquant to appear. The palate entry is rich, intensely minty and only moderately sweet; at midpalate the mint comes on strong, cleansing the tongue and leaving behind a fresh taste. Concludes concentrated and properly minty.",spirits_taster,5,58,379,6.5344827586206895,10,15,8,11,9,4,31,5,5,4,6,16,4,16.59741379310345,7,72.41379310344827
"The nose after the pour is moderately expressive and nutty/sweet; aeration doesn't smooth out the icky-sticky sweet, only mildly almond-like aroma. Palate entry is moderately tasty and almondy but the syrupy texture and candied sweetness nearly obliterate the chance of any kind of classic amaretto flavor profile. Ends better in the throat than on the tongue.",spirits_taster,5,60,360,6.0,8,15,12,6,13,3,31,10,5,3,7,22,3,16.83,7,68.33333333333333
"The opening aroma offers dry graininess; later sniffings discover scents of chalk or limestone and wheat. The palate entry is elegant, smooth, and dry to off-dry; at midpalate there's a quick flash of spirity warmth, then a grainy dryness. Ends up off-dry, minerally, and admirably clean and lean.",spirits_taster,6,51,297,5.823529411764706,12,14,5,6,11,3,31,14,6,3,6,16,3,14.498823529411759,6,72.54901960784314
"The peculiar, but appealing bouquet includes unexpected aromas of lead pencil, baking bread, baked pear, and sautéed butter with hints of mango. The mango core flavor is detected quite clearly in the palate entry, and then it makes a slightly bigger fruity splash at midpalate. Concludes mildly sweet and fruity. A classy fruit 
flavored rum that gains momentum with time. Best Buy.",spirits_taster,6,63,383,6.079365079365079,10,21,10,9,10,5,27,3,9,3,4,19,5,13.503809523809522,5,71.42857142857143
"The bouquet contains delicate aromas of red fruit and cranberry . The palate entry reflects that delicacy; at midpalate the taste of cranberry is faint and fresh. Finishes elegant, clean, semisweet, ripe, and with a whisper of fruit. Best Buy",spirits_taster,6,39,242,6.205128205128205,8,13,7,3,10,4,18,2,5,2,3,14,5,12.67115384615385,0,66.66666666666666
"The initial sniffings pick up delightfully fruity, jammy aromas. The palate entry is sweet, ripe, and intensely grapy with a bit of welcome heat on the tongue. Finishes grapy and ripe.",spirits_taster,5,31,184,5.935483870967742,6,9,8,3,7,3,21,5,4,2,4,11,3,11.692795698924733,2,67.74193548387096
"First scent is wine-like and only mildly malty; additional minutes stir up aromas of freshly baked bread, saltine cracker, carnations, cherry, ripe pears and mead. Palate entry is off-dry, sinewy and lean, yet refreshing; at midpalate the flavor profile  capitalizes on the slender, winy/fruity structure by staying the course. Concludes off-dry, mildly marine-like, and just a touch resiny/woody.",spirits_taster,11,64,397,6.203125,20,24,10,7,12,3,34,18,11,2,4,17,3,18.453385416666663,7,78.125
"The opening aroma is slightly prickly in the nasal cavity; aeration smoothes the aroma out as moderately salty-kippery scents dominate. Palate entry is integrated and sweet, at midpalate the presence of the peat takes shape in the form of smoky, woody, resiny tastes. Concludes with a flash of spirity fire on the tongue.",spirits_taster,3,54,321,5.944444444444445,8,20,13,7,6,3,27,11,9,3,3,21,3,15.568333333333335,3,66.66666666666666
"The initial whiffs uncover a firm, assertive, ripe apple perfume; following aeration the aroma becomes delicate, juicy and just moderately sweet. The palate entry is more sweet that tart and hence more like candied apple than fresh apple; at midpalate the taste turns layered, viscous and sweet and creamy. Finishes sweet, candied and full-bodied.",spirits_taster,8,55,347,6.3090909090909095,11,11,7,7,18,3,31,9,5,4,7,17,3,17.45248484848485,5,74.54545454545455
"A delicate, unusual mix of floral and spice marks this golden liqueur, supposedly based on “a forgotten Italian recipe.” The base is iris root, which on the palate yields an herbaceous scent and floral notes touched with saffron and cardamom. Seems like an ideal ingredient to play with for cocktails.",spirits_taster,3,50,301,6.02,8,14,8,8,9,4,23,1,7,4,3,18,2,13.174199999999999,1,64.0
"This is reminiscent of rustic tarts. The pear fragrance features a robust malty note, and the flavor is warm, showing baked pear and cinnamon heat that seems to gather strength. The finish is exceedingly long and slightly perfumy.",spirits_taster,2,38,230,6.052631578947368,5,11,7,7,8,3,27,7,9,5,4,14,3,13.41122807017544,2,73.68421052631578
"The rich, slightly sweet aroma is delectable and redolent of cherry pie filling. Made with tart cherries, this clear spirit has a faint, slightly bitter almond flavor and a pleasant cherry-flesh finish, plus a rousing bite of alcohol heat.",spirits_taster,5,40,239,5.975,7,13,7,4,10,2,32,15,10,2,6,12,2,16.712249999999997,2,72.5
"While most pear brandies are made using Williams or Bartlett pears, this variation is made with Asian pears picked from Pennsylvanian orchards. The end result is fresh and clean, moderately drying, with a sweet fragrance that evokes pears as well as apples and grapes.",spirits_taster,1,44,268,6.090909090909091,5,12,7,9,7,2,25,24,6,3,4,17,5,18.258181818181818,3,70.45454545454545
"The ruddy orange hue and citrusy aroma will remind some tipplers of Italy's Aperol. This tangerine and cane liqueur is quite sweet, with a candied-citrus flavor braced by pleasant, fleeting bitterness on the end. Top up with sparkling wine for a spritz-style sipper.",spirits_taster,3,46,266,5.782608695652174,7,15,9,6,6,3,25,12,7,3,3,17,3,13.472753623188403,1,60.86956521739131
"Made with Moscato grapes, this spirit offers a sweet and perfumy aroma. On the palate, expect delicate, lingering notes of violet, rosewater and raspberry, finishing with white-pepper heat.",spirits_taster,3,29,189,6.517241379310345,8,9,6,6,4,2,23,14,6,4,2,9,3,16.51620689655173,0,65.51724137931035
"Although this is one of the nicer variations on slivovitz, the category isn't for everyone. Coppersea's version has a malty, fruity aroma and flavors that mix floral notes with a modest amount of fruit. Bigger, juicier fruit emerges on the finish alongside a dose of alcohol heat.",spirits_taster,5,49,280,5.714285714285714,6,17,11,5,6,3,22,15,8,2,3,18,1,13.650952380952383,1,59.183673469387756
"Allow this slivovitz, made from Italian blue plums, to open up in the glass for more flavor. The soft, warm scent captures a fresh-fruit essence. On the palate, flavors run to pleasantly floral, even perfumy, rather than outright fruity, but retain pleasing freshness.",spirits_taster,4,44,268,6.090909090909091,11,11,9,6,10,3,23,12,4,2,4,15,2,14.591515151515154,3,68.18181818181817
"This liqueur has a faint golden tint and bold coconut aroma. On the palate, it's quite sweet, showing coconut backed by a surprising eucalyptus note.",spirits_taster,2,26,149,5.730769230769231,4,8,5,4,5,2,18,12,4,3,2,8,2,12.061923076923073,1,69.23076923076923
"Described as “chocolate grappa,” this thick, opaque-brown liquid has an oily sheen and a chocolaty, boozy aroma. It's thick at first sip, featuring not-too-sweet cocoa notes, although the grappa influence shows up on the palate-cleansing finish. Packaged with two sleeves of ice cream cone-like wafers tucked inside the box.",spirits_taster,5,55,324,5.890909090909091,15,20,13,8,8,3,29,16,7,4,3,14,2,15.482848484848482,2,69.0909090909091
